[2013-06-06 11:20:56,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:20:56 06/06/2013
[2013-06-06 11:20:56,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:20:56 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:20:56,668]	Job DEFAULT.TestJob1 execution complete at  11:20:56 06/06/2013 and reports: hello
[2013-06-06 11:21:00,002]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinute) at:  11:21:00 06/06/2013
[2013-06-06 11:21:00,002]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:21:00 CST 2013, fired by: GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinute
[2013-06-06 11:21:00,002]	 - jobDataMap entry: someKey = overriddenValue
[2013-06-06 11:21:00,002]	 - jobDataMap entry: someOtherKey = someOtherOverriddenValue
[2013-06-06 11:21:00,002]	Job GroupOfTestJob2.TestJob2 execution complete at  11:21:00 06/06/2013 and reports: hello
[2013-06-06 11:21:01,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:01 06/06/2013
[2013-06-06 11:21:01,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:01 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:01,668]	Job DEFAULT.TestJob1 execution complete at  11:21:01 06/06/2013 and reports: hello
[2013-06-06 11:21:01,771]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats) at:  11:21:01 06/06/2013
[2013-06-06 11:21:01,771]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:21:01 CST 2013, fired by: GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats
[2013-06-06 11:21:01,771]	 - jobDataMap entry: someKey = someValue
[2013-06-06 11:21:01,771]	 - jobDataMap entry: someOtherKey = someOtherValue
[2013-06-06 11:21:01,772]	Job GroupOfTestJob2.TestJob2 execution complete at  11:21:01 06/06/2013 and reports: hello
[2013-06-06 11:21:06,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:06 06/06/2013
[2013-06-06 11:21:06,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:06 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:06,668]	Job DEFAULT.TestJob1 execution complete at  11:21:06 06/06/2013 and reports: hello
[2013-06-06 11:21:11,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:11 06/06/2013
[2013-06-06 11:21:11,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:11 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
